Run,Classifier,Parameters,is_fit,Acc,Precision,Recall,F1
1,SGDClassifier,"{'alpha': 1e-10, 'n_jobs': -1}",True,0.9924922119435529,0.9926109331178875,0.9924922119435529,0.9922767816603895
2,SGDClassifier,"{'alpha': 5.264105263157895e-07, 'n_jobs': -1}",True,0.9917139936768784,0.991831951944144,0.9917139936768784,0.9915042108195042
3,SGDClassifier,"{'alpha': 1.052721052631579e-06, 'n_jobs': -1}",True,0.9926905885424306,0.9927853899126756,0.9926905885424306,0.9924768066724677
4,SGDClassifier,"{'alpha': 1.5790315789473685e-06, 'n_jobs': -1}",True,0.9917597230071878,0.9918805839385983,0.9917597230071878,0.9915458038869189
5,SGDClassifier,"{'alpha': 2.1053421052631576e-06, 'n_jobs': -1}",True,0.9916071153240573,0.991759128207009,0.9916071153240573,0.9913909976193181
6,SGDClassifier,"{'alpha': 2.631652631578947e-06, 'n_jobs': -1}",True,0.9919581135773964,0.9920961373904971,0.9919581135773964,0.9917415500848831
7,SGDClassifier,"{'alpha': 3.1579631578947367e-06, 'n_jobs': -1}",True,0.9915766170729826,0.9917319488059297,0.9915766170729826,0.9913604138193264
8,SGDClassifier,"{'alpha': 3.684273684210526e-06, 'n_jobs': -1}",True,0.9892419878870656,0.9894073518657691,0.9892419878870656,0.989002264823305
9,SGDClassifier,"{'alpha': 4.210584210526316e-06, 'n_jobs': -1}",True,0.991301958171675,0.9914957481807154,0.991301958171675,0.9910857585223243
10,SGDClassifier,"{'alpha': 4.736894736842106e-06, 'n_jobs': -1}",True,0.9911951228971241,0.9913391967422258,0.9911951228971241,0.9909819262921846
11,SGDClassifier,"{'alpha': 5.2632052631578946e-06, 'n_jobs': -1}",True,0.9909509738896667,0.9911607441186641,0.9909509738896667,0.9907319996088898
12,SGDClassifier,"{'alpha': 5.789515789473684e-06, 'n_jobs': -1}",True,0.9913477177732013,0.9914779177868331,0.9913477177732013,0.9911348473136782
13,SGDClassifier,"{'alpha': 6.315826315789474e-06, 'n_jobs': -1}",True,0.9911493563099322,0.9913485624307871,0.9911493563099322,0.9909324992527683
14,SGDClassifier,"{'alpha': 6.842136842105263e-06, 'n_jobs': -1}",True,0.9910272596849294,0.9911903976344252,0.9910272596849294,0.9908119913909237
15,SGDClassifier,"{'alpha': 7.368447368421053e-06, 'n_jobs': -1}",True,0.9915918819162673,0.9917617165884623,0.9915918819162673,0.9913747289217116
16,SGDClassifier,"{'alpha': 7.894757894736842e-06, 'n_jobs': -1}",True,0.9917444802851773,0.9918879290482534,0.9917444802851773,0.9915277671240872
17,SGDClassifier,"{'alpha': 8.421068421052631e-06, 'n_jobs': -1}",True,0.9907526019478994,0.9909793936461435,0.9907526019478994,0.9905330183608914
18,SGDClassifier,"{'alpha': 8.947378947368421e-06, 'n_jobs': -1}",True,0.9916376717890106,0.9918051403537463,0.9916376717890106,0.9914187243698587
19,SGDClassifier,"{'alpha': 9.473689473684211e-06, 'n_jobs': -1}",True,0.9914698202195918,0.9916404095336645,0.9914698202195918,0.9912533978081317
20,SGDClassifier,"{'alpha': 1e-05, 'n_jobs': -1}",True,0.9913477142803686,0.9914792334448563,0.9913477142803686,0.9911356800530371
